Тип продукта,Продукт ,Ссылка
,Ипотека на Новостройку,https://www.gazprombank.ru/personal/take_credit/mortgage/5546683/
,Ипотека на дом,https://www.gazprombank.ru/personal/take_credit/mortgage/6650775/
,Кредит под залог недвижимости,https://www.gazprombank.ru/personal/bail/pod-zalog/
Услуги и сервисы,Газпромбанк Мобайл,https://www.gazprombank.ru/mobile/
,Газпром Бонус,https://www.gazprombank.ru/personal/page/gazprom-bonus-plus/
,Страховые и сервисные продукты,https://www.gazprombank.ru/personal/page/insurance-service-products/
,Депозитарные услуги,https://www.gazprombank.ru/personal/depositary_services/
,Счета и переводы,https://www.gazprombank.ru/personal/page/financial-operations/
,Банковские сейфы,https://www.gazprombank.ru/personal/page/safe-deposit/
,Кредитный рейтинг,https://www.gazprombank.ru/personal/credit-profile/
,Отчет о кредитной истории,https://www.gazprombank.ru/personal/page/credit-report/
,Переводы за рубеж,https://www.gazprombank.ru/personal/page/prevodyzarubezh/
,Gazprom Pay,https://www.gazprombank.ru/personal/page/payment-service/gazprom-pay/
,Интернет-банк,https://www.gazprombank.ru/personal/page/online-bank/
,Мобильное приложение,https://www.gazprombank.ru/personal/page/app/
,GPB-i-Trade,https://www.gazprombank.ru/personal/brokerage_service/#tab-2
,GorodPay,https://www.gazprombank.ru/personal/page/gorodpay/
,Открыть брокерский счет,https://www.gazprombank.ru/personal/distance/investapp/
,Брокер-клиент,https://www.gazprombank.ru/personal/brokerage_service/#tab-3
,Дистанционные сервисы,https://www.gazprombank.ru/personal/distance/
,Стать клиентом Газпромбанка онлайн,https://www.gazprombank.ru/personal/page/biosystem/
,Открытый API курсов валют и металлов,https://www.gazprombank.ru/personal/page/openapi/
